 LON, LAT,DOY1,DOY2,DOY3,DOY4,DOY5,DOY6,DOY7,DOY8,DOY9,DOY10,DOY11,DOY12,DOY13,DOY14,DOY15,DOY16,DOY17,DOY18,DOY19,DOY20,DOY21,DOY22,DOY23,DOY24,DOY25,DOY26,DOY27,DOY28,DOY29,DOY30,DOY31,DOY32,DOY33,DOY34,DOY35,DOY36,DOY37,DOY38,DOY39,DOY40,DOY41,DOY42,DOY43,DOY44,DOY45,DOY46,DOY47,DOY48,DOY49,DOY50,DOY51,DOY52,DOY53,DOY54,DOY55,DOY56,DOY57,DOY58,DOY59,DOY60,DOY61,DOY62,DOY63,DOY64,DOY65,DOY66,DOY67,DOY68,DOY69,DOY70,DOY71,DOY72,DOY73,DOY74,DOY75,DOY76,DOY77,DOY78,DOY79,DOY80,DOY81,DOY82,DOY83,DOY84,DOY85,DOY86,DOY87,DOY88,DOY89,DOY90,DOY91,DOY92,DOY93,DOY94,DOY95,DOY96,DOY97,DOY98,DOY99,DOY100,DOY101,DOY102,DOY103,DOY104,DOY105,DOY106,DOY107,DOY108,DOY109,DOY110,DOY111,DOY112,DOY113,DOY114,DOY115,DOY116,DOY117,DOY118,DOY119,DOY120,DOY121,DOY122,DOY123,DOY124,DOY125,DOY126,DOY127,DOY128,DOY129,DOY130,DOY131,DOY132,DOY133,DOY134,DOY135,DOY136,DOY137,DOY138,DOY139,DOY140,DOY141,DOY142,DOY143,DOY144,DOY145,DOY146,DOY147,DOY148,DOY149,DOY150,DOY151,DOY152,DOY153,DOY154,DOY155,DOY156,DOY157,DOY158,DOY159,DOY160,DOY161,DOY162,DOY163,DOY164,DOY165,DOY166,DOY167,DOY168,DOY169,DOY170,DOY171,DOY172,DOY173,DOY174,DOY175,DOY176,DOY177,DOY178,DOY179,DOY180,DOY181,DOY182,DOY183,DOY184,DOY185,DOY186,DOY187,DOY188,DOY189,DOY190,DOY191,DOY192,DOY193,DOY194,DOY195,DOY196,DOY197,DOY198,DOY199,DOY200,DOY201,DOY202,DOY203,DOY204,DOY205,DOY206,DOY207,DOY208,DOY209,DOY210,DOY211,DOY212,DOY213,DOY214,DOY215,DOY216,DOY217,DOY218,DOY219,DOY220,DOY221,DOY222,DOY223,DOY224,DOY225,DOY226,DOY227,DOY228,DOY229,DOY230,DOY231,DOY232,DOY233,DOY234,DOY235,DOY236,DOY237,DOY238,DOY239,DOY240,DOY241,DOY242,DOY243,DOY244,DOY245,DOY246,DOY247,DOY248,DOY249,DOY250,DOY251,DOY252,DOY253,DOY254,DOY255,DOY256,DOY257,DOY258,DOY259,DOY260,DOY261,DOY262,DOY263,DOY264,DOY265,DOY266,DOY267,DOY268,DOY269,DOY270,DOY271,DOY272,DOY273,DOY274,DOY275,DOY276,DOY277,DOY278,DOY279,DOY280,DOY281,DOY282,DOY283,DOY284,DOY285,DOY286,DOY287,DOY288,DOY289,DOY290,DOY291,DOY292,DOY293,DOY294,DOY295,DOY296,DOY297,DOY298,DOY299,DOY300,DOY301,DOY302,DOY303,DOY304,DOY305,DOY306,DOY307,DOY308,DOY309,DOY310,DOY311,DOY312,DOY313,DOY314,DOY315,DOY316,DOY317,DOY318,DOY319,DOY320,DOY321,DOY322,DOY323,DOY324,DOY325,DOY326,DOY327,DOY328,DOY329,DOY330,DOY331,DOY332,DOY333,DOY334,DOY335,DOY336,DOY337,DOY338,DOY339,DOY340,DOY341,DOY342,DOY343,DOY344,DOY345,DOY346,DOY347,DOY348,DOY349,DOY350,DOY351,DOY352,DOY353,DOY354,DOY355,DOY356,DOY357,DOY358,DOY359,DOY360,DOY361,DOY362,DOY363,DOY364,DOY365
120.75,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,2,2,1,1,1,2,1,1,2,2,0,2,3,3,0,3,3,3,4,3,4,0,3,4,2,0,2,1,1,0,0,0,3,0,0,0,2,0,1,0,1,0,2,2,2,0,1,1,1,1,2,0,1,1,0,1,0,0,3,0,1,1,2,0,1,3,1,1,3,1,2,2,2,3,4,1,0,1,3,1,2,0,1,0,2,1,0,1,3,3,0,1,3,0,2,1,1,1,1,2,0,1,3,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.8,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,2,2,1,0,1,2,2,1,2,2,0,3,3,4,1,1,4,4,4,4,3,1,4,6,3,0,2,1,0,1,0,1,2,0,0,0,1,0,3,0,0,0,2,2,2,0,1,1,1,1,1,0,1,1,0,1,0,0,3,0,1,1,2,0,1,2,1,1,2,1,2,3,2,1,3,1,0,2,4,2,2,0,0,1,1,0,1,1,1,3,0,1,5,0,2,1,1,1,1,2,0,2,3,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.85,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,1,0,2,1,0,2,2,1,0,1,1,3,2,2,2,0,4,4,4,1,1,5,4,4,5,3,3,3,5,3,0,2,1,0,1,0,1,2,0,0,0,1,0,1,1,0,1,1,2,3,2,0,1,1,1,1,0,1,1,1,1,0,1,3,0,0,1,2,0,1,2,1,1,2,1,3,3,2,1,2,1,0,1,5,3,2,0,0,1,1,1,1,1,3,3,0,1,5,2,2,2,1,0,1,2,0,1,2,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.9,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,2,0,0,1,0,0,3,1,1,2,3,2,0,1,0,3,2,2,1,0,3,4,4,2,2,3,4,4,4,3,2,3,5,3,0,2,1,0,1,0,0,2,0,0,0,0,0,2,1,0,1,1,2,3,3,0,1,1,0,0,0,1,1,1,1,0,1,3,1,0,1,2,0,0,2,1,1,2,2,3,4,2,2,1,1,0,0,3,3,2,0,0,1,1,0,1,2,1,3,0,1,5,2,2,1,1,0,1,2,0,1,2,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120.95,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,1,0,3,1,0,2,3,2,0,1,1,2,3,2,0,1,4,4,4,2,3,4,3,4,6,3,1,2,4,1,0,2,1,1,1,0,0,1,0,0,0,0,0,2,0,0,0,1,2,3,1,0,1,1,0,1,0,1,1,0,1,0,0,4,0,0,1,2,0,1,2,1,0,2,1,2,3,2,2,2,2,0,0,3,3,2,0,0,1,0,0,1,2,0,2,0,1,5,2,1,1,1,0,1,2,0,1,2,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,1,0,4,1,0,2,3,1,0,1,1,2,4,2,1,1,4,4,4,3,4,4,5,4,5,3,1,2,4,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,0,1,0,1,1,0,1,0,1,4,0,0,1,2,0,1,1,1,0,2,1,2,3,2,1,1,2,0,1,3,3,2,0,0,1,0,0,1,2,3,2,0,1,5,2,1,1,1,0,1,2,1,1,1,1,0,0,0,1,1,0,0,1,2,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121.05,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,2,0,0,0,1,0,0,3,0,0,0,1,1,6,2,0,2,4,1,0,2,1,3,5,2,1,1,4,4,4,6,2,6,6,4,3,3,1,2,5,2,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,3,2,0,0,0,1,2,1,0,2,1,0,1,0,1,4,0,0,0,3,0,1,0,1,1,2,1,1,3,2,2,2,3,0,3,3,3,2,0,0,1,0,1,1,2,3,2,1,1,4,2,1,1,1,0,1,3,1,1,1,0,0,0,0,1,1,1,0,1,2,1,0,0,1,2,0,1,2,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121.1,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,2,1,0,2,0,0,0,0,0,4,2,1,2,3,2,0,2,1,2,5,1,1,1,4,2,4,7,5,5,5,3,3,3,1,2,5,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,2,2,0,0,0,1,1,1,0,1,1,0,1,0,3,4,0,0,1,3,0,1,0,1,1,2,1,2,3,2,2,2,2,0,2,3,3,2,0,0,1,0,1,1,2,3,2,0,1,4,2,1,1,1,0,1,2,1,1,1,1,0,0,0,1,0,1,0,1,2,1,0,0,2,2,0,2,2,0,2,2,1,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121.15,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,3,1,1,2,0,0,0,1,1,0,2,0,0,0,0,0,5,1,2,2,4,2,0,2,2,3,6,2,1,1,3,2,4,7,6,5,5,3,3,3,1,2,4,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,2,2,0,0,0,0,2,1,0,1,1,0,1,0,3,4,0,0,1,2,0,1,1,1,1,1,1,3,4,2,3,2,2,0,2,3,3,2,0,0,1,0,1,1,1,2,1,1,1,3,2,2,1,1,0,1,2,2,2,1,1,0,0,0,1,2,1,1,1,3,1,0,1,2,2,0,2,2,1,2,2,1,0,0,1,0,3,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121.2,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,2,0,0,0,1,1,1,0,1,1,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,5,1,2,2,4,3,0,2,1,3,6,2,1,0,3,2,4,3,6,3,3,3,3,3,2,3,4,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,3,1,0,1,2,0,1,0,3,4,0,0,1,2,0,3,2,2,1,1,1,3,3,2,3,1,2,0,2,3,3,2,0,1,1,0,0,1,1,2,1,1,2,3,2,1,0,1,0,1,2,2,2,2,1,0,0,0,1,2,1,1,2,3,1,0,0,2,2,0,2,2,1,1,4,1,0,0,1,0,3,1,2,0,2,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121.25,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,2,1,2,0,2,0,3,5,1,0,0,2,2,4,2,3,3,3,3,2,3,2,2,1,0,0,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,1,1,3,3,0,0,0,1,3,2,0,1,1,0,1,0,2,3,0,0,1,1,0,4,3,3,2,1,1,1,3,3,3,2,2,0,2,5,2,1,0,1,1,1,0,0,1,2,1,1,1,3,1,2,0,0,0,2,2,3,2,2,1,0,0,0,1,1,1,1,2,3,1,0,0,2,2,0,2,2,1,2,7,2,0,0,1,1,3,2,2,0,2,1,0,0,1,0,1,1,1,1,0,0,1,1,1,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121.3,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,1,0,2,3,1,0,0,1,2,2,0,1,3,2,2,1,2,2,2,1,0,0,2,1,0,1,0,2,2,2,0,0,0,0,0,0,0,1,1,4,3,0,0,0,1,3,2,0,1,1,1,1,0,2,3,0,0,1,0,0,4,5,3,2,1,1,1,2,2,3,2,2,0,3,5,3,0,0,1,1,2,0,0,1,2,2,1,1,1,1,2,0,0,0,2,3,3,2,2,1,1,0,1,2,1,1,2,2,3,1,1,0,2,3,0,2,2,1,2,7,2,0,1,2,1,3,2,1,0,3,1,0,1,1,0,2,1,0,1,0,1,1,2,1,2,1,0,0,0,0,0,2,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.35,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,2,1,0,1,2,0,0,2,2,2,3,0,2,0,0,1,3,1,0,2,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,1,1,2,0,1,0,2,0,1,2,2,2,2,2,0,0,0,0,0,1,1,1,1,0,1,0,0,0,2,3,0,1,2,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,2,0,0,0,1,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,1,0,2,2,0,0,1,2,4,3,0,2,0,0,3,3,1,2,1,0,0,1,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,1,1,2,0,1,0,2,1,1,2,2,2,2,2,1,0,0,0,0,2,1,1,1,0,1,0,0,0,2,3,0,1,2,0,0,0,1,0,1,1,1,1,3,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.45,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,0,0,2,1,0,2,3,0,1,3,3,6,3,0,2,0,1,3,2,1,1,3,0,0,1,1,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,2,3,0,1,1,2,0,1,0,2,0,1,2,2,2,2,2,1,0,0,1,0,2,1,1,1,0,1,0,0,0,2,3,0,1,2,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,2,0,0,0,2,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
